,GEOID,race_prop,race_nonw,tenu_p-rent,tenu_rent,tenu_tot
2105,410170014002,0.10140405616224649,65,0.4095238095238095,129,315
2106,410170015004,0.021476510067114093,16,0.728,273,375
2107,410170015002,0.018306636155606407,24,0.605475040257649,376,621
2108,410170017002,0.1253930817610063,319,0.47888675623800386,499,1042
2109,410170020004,0.12242798353909465,238,0.27979274611398963,216,772
2110,410619702002,0.05206847360912981,73,0.20985401459854014,115,548
2111,410619705003,0.015539305301645339,17,0.2661122661122661,128,481
2112,410619701003,0.039647577092511016,18,0.21818181818181817,48,220
2113,410619704003,0.1039671682626539,76,0.45962732919254656,148,322
2114,410099703002,0.19310344827586207,168,0.19032258064516128,59,310
2115,410099707002,0.0444743935309973,33,0.3780487804878049,93,246
2116,410510056002,0.26071741032370954,298,0.9627039627039627,413,429
2117,410670324043,0.02661207778915046,26,0.11363636363636363,45,396
2118,410670314041,0.11443779108449767,172,0.5651515151515152,373,660
2119,410510034021,0.2239512855209743,331,0.7451851851851852,503,675
2120,410510035013,0.2229038854805726,218,0.26842105263157895,102,380
2121,410390001005,0.05373134328358209,36,0.32558139534883723,112,344
2122,410390001002,0.14606741573033707,195,0.018796992481203006,10,532
2123,410390005001,0.03095558546433378,23,0.33608815426997246,122,363
2124,410390008001,0.05271828665568369,32,0.384297520661157,93,242
2125,410390019032,0.015730337078651686,14,0.4462025316455696,141,316
2126,410390040001,0.10772833723653395,92,0.9710982658959537,672,692
2127,410390044013,0.053082191780821915,31,0.1630901287553648,38,233
2128,410390044012,0.2891820580474934,548,0.6279373368146214,481,766
2129,410110007002,0.06838709677419355,53,0.6292134831460674,168,267
2130,410110007005,0.0951683748169839,65,0.41414141414141414,123,297
2131,410110010002,0.08102564102564103,79,0.337295690936107,227,673
2132,410110010005,0.24612736660929432,286,0.2846715328467153,117,411
2133,410110010004,0.016129032258064516,20,0.3733108108108108,221,592
2134,410670315092,0.07388316151202749,43,0.04219409282700422,10,237
2135,410290010013,0.1174934725848564,360,0.2739244951712028,312,1139
2136,410290007004,0.12170385395537525,180,0.22635135135135134,134,592
2137,410050239023,0.059063136456211814,58,0.4426605504587156,193,436
2138,410670319042,0.14826839826839827,274,0.2222222222222222,146,657
2139,410670315123,0.28869047619047616,1261,0.36570561456752654,482,1318
2140,410499702004,0.04046242774566474,14,0.32075471698113206,51,159
2141,410499702003,0.0,0,0.6296296296296297,204,324
2142,410670313003,0.09519276534983341,200,0.6845528455284553,421,615
2143,410510103063,0.26837606837606837,314,0.5754716981132075,244,424
2144,410050205052,0.03529411764705882,42,0.07972665148063782,35,439
2145,410050204032,0.20756457564575645,225,0.014563106796116505,6,412
2146,410050221053,0.1374843292937735,329,0.251685393258427,224,890
2147,410050221082,0.10510887772194305,251,0.7687296416938111,708,921
2148,410050222062,0.2624974701477434,1297,0.2804811372334609,513,1829
2149,410050222082,0.23608903020667726,594,0.052121212121212124,43,825
2150,410670319074,0.02867383512544803,16,0.0,0,357
2151,410670318131,0.25122699386503067,819,0.2309688581314879,267,1156
2152,410390023022,0.19191226867717615,280,0.15711645101663585,85,541
2153,410390007082,0.11968680089485459,107,0.21945701357466063,97,442
2154,410390007071,0.026037428803905614,32,0.19869281045751633,152,765
2155,410390025042,0.19705263157894737,468,0.5591882750845547,496,887
2156,410390044051,0.15937731653076354,215,0.10684474123539232,64,599
2157,410579602003,0.014256619144602852,14,0.3132183908045977,109,348
2158,410510095011,0.5426874536005939,1462,0.3499095840867993,387,1106
2159,410510094001,0.3399234693877551,533,0.06771463119709795,56,827
2160,410619703001,0.008522727272727272,6,0.2246376811594203,62,276
2161,410619707002,0.224976167778837,236,0.4755700325732899,146,307
2162,410670324061,0.2675862068965517,194,0.6137184115523465,170,277
2163,410510019003,0.09581881533101046,110,0.1386861313868613,57,411
2164,410510019002,0.16451149425287356,229,0.049145299145299144,23,468
2165,410510025013,0.10327706057596822,104,0.07098765432098765,23,324
2166,410510025012,0.017112299465240642,16,0.08875739644970414,30,338
2167,410510026001,0.07666666666666666,69,0.046703296703296704,17,364
2168,410510029025,0.08823529411764706,105,0.057291666666666664,33,576
