,id,left,top,right,bottom,geometry,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID,UTILITYNAM,CREATIONUS,DATECREATE,DATEMODIFI,LASTUSER,GLOBALID,SHAPE_STAr,SHAPE_STLe,hhinc_<10,hhinc_10-15,hhinc_15-20,hhinc_20-25,hhinc_25-30,hhinc_30-35,hhinc_35-40,hhinc_40-45,hhinc_45-50,hhinc_50-60,hhinc_60-75,hhinc_med
82,83,7375101.9918,788372.1747,7385661.9918,798932.1747,POINT (7375101.9918 788372.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,84,7375101.9918,777812.1747,7385661.9918,788372.1747,POINT (7375101.9918 777812.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,85,7375101.9918,767252.1747,7385661.9918,777812.1747,POINT (7375101.9918 767252.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,86,7375101.9918,756692.1747,7385661.9918,767252.1747,POINT (7375101.9918 756692.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,87,7375101.9918,746132.1747,7385661.9918,756692.1747,POINT (7375101.9918 746132.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,88,7375101.9918,735572.1747,7385661.9918,746132.1747,POINT (7375101.9918 735572.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,89,7375101.9918,725012.1747,7385661.9918,735572.1747,POINT (7375101.9918 725012.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,90,7375101.9918,714452.1747,7385661.9918,725012.1747,POINT (7375101.9918 714452.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,91,7375101.9918,703892.1747,7385661.9918,714452.1747,POINT (7375101.9918 703892.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,92,7375101.9918,693332.1747,7385661.9918,703892.1747,POINT (7375101.9918 693332.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,93,7375101.9918,682772.1747,7385661.9918,693332.1747,POINT (7375101.9918 682772.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,94,7375101.9918,672212.1747,7385661.9918,682772.1747,POINT (7375101.9918 672212.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,95,7375101.9918,661652.1747,7385661.9918,672212.1747,POINT (7375101.9918 661652.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,96,7375101.9918,651092.1747,7385661.9918,661652.1747,POINT (7375101.9918 651092.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,97,7375101.9918,640532.1747,7385661.9918,651092.1747,POINT (7375101.9918 640532.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,98,7375101.9918,629972.1747,7385661.9918,640532.1747,POINT (7375101.9918 629972.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,99,7375101.9918,619412.1747,7385661.9918,629972.1747,POINT (7375101.9918 619412.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,100,7375101.9918,608852.1747,7385661.9918,619412.1747,POINT (7375101.9918 608852.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,101,7375101.9918,598292.1747,7385661.9918,608852.1747,POINT (7375101.9918 598292.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,102,7375101.9918,587732.1747,7385661.9918,598292.1747,POINT (7375101.9918 587732.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,103,7375101.9918,577172.1747,7385661.9918,587732.1747,POINT (7375101.9918 577172.1747),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542675.0,13445.0,+45.1500952,-123.6484109,329.0,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816,37,48,17,90,33,27,9,46,22,30,35,38750
103,104,7375101.9918,566612.1747,7385661.9918,577172.1747,POINT (7375101.9918 566612.1747),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542675.0,13445.0,+45.1500952,-123.6484109,329.0,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816,37,48,17,90,33,27,9,46,22,30,35,38750
