,GEOID,hhinc_low
1153,410659703003,211
1154,410659701002,158
1155,410659701001,360
1156,410659701003,61
1157,410659708001,198
1158,410659708004,296
1159,410659708003,72
1160,410659708002,153
1161,410670329011,161
1162,410390004021,189
1163,410390004023,255
1164,410390004022,96
1165,410390044011,444
1166,410390002002,113
1167,410390002004,70
1168,410390026001,374
1169,410390026003,372
1170,410390004034,279
1171,410390004031,159
1172,410390004033,300
1173,410390009041,135
1174,410390020022,347
1175,410459703004,329
1176,410510067011,82
1177,410510080021,149
1178,410510080022,265
1179,410510089011,348
1180,410510089012,433
1181,410670324063,287
1182,410670324064,63
1183,410670326043,278
1184,410670326045,172
1185,410670326044,140
1186,410670326041,90
1187,410670326042,98
1188,410670334002,89
1189,410190600003,255
1190,410190600002,160
1191,410190700002,398
1192,410190700003,310
1193,410190700001,221
1194,410192000002,242
1195,410192000004,360
1196,410239602004,358
1197,410239602005,276
1198,410390033021,164
1199,410390033023,406
1200,410390029041,267
1201,410390029042,447
1202,410390029043,212
1203,410390045023,481
1204,410670320051,42
1205,410670320052,147
1206,410670320054,221
1207,410670308061,248
1208,410670326071,417
1209,410670326091,164
1210,410670331011,454
1211,410670331021,291
1212,410670332003,781
1213,410670332002,335
1214,410670319112,188
1215,410670319103,278
1216,410390045021,218
1217,410510049003,328
1218,410510051003,588
1219,410510052003,249
1220,410510055002,574
1221,410510057002,369
1222,410510057003,85
1223,410510091024,228
1224,410710303014,289
1225,410710303015,77
1226,410050221013,288
1227,410050222013,473
1228,410670316105,299
1229,410510098034,578
1230,410170020002,203
1231,410170021003,370
1232,410170021002,588
1233,410170021004,224
1234,410170016002,533
1235,410170016001,198
1236,410430201003,96
1237,410430201004,185
1238,410430201001,479
1239,410430206002,276
1240,410430206003,135
1241,410430206004,47
1242,410430304021,227
1243,410430304025,225
1244,410430308002,193
1245,410191300001,225
1246,410191300005,197
1247,410191300002,193
1248,410110003001,247
1249,410110003004,174
1250,410110003003,103
1251,410110004001,199
1252,410110004004,92
1253,410110004006,271
1254,410110004005,133
1255,410110004002,84
1256,410110004003,208
1257,410110005022,217
1258,410110005021,421
1259,410110009002,360
1260,410110009001,134
1261,410110009006,148
1262,410110009008,61
1263,410110009004,329
1264,410110009007,205
1265,410159501002,279
1266,410159502003,369
1267,410159502001,421
1268,410159503012,142
1269,410159503011,396
1270,410390012011,268
1271,410390012013,215
1272,410390031021,268
1273,410390031022,81
1274,410390037002,0
1275,410510090002,419
1276,410510090001,576
1277,410510092022,250
1278,410510093012,332
1279,410510093013,498
1280,410510098011,528
1281,410510084002,611
1282,410510089021,180
1283,410510091012,415
1284,410510091011,621
1285,410510104021,99
1286,410510104022,95
1287,410510104083,165
1288,410510104082,294
1289,410239602002,168
1290,410430308006,317
1291,410430308004,287
1292,410430301005,127
1293,410430301004,162
1294,410579602002,158
1295,410579608003,118
1296,410579608002,132
1297,410579606003,139
1298,410579601002,210
1299,410579601004,145
1300,410579601003,71
1301,410579604005,196
1302,410579604007,132
1303,410579604004,74
1304,410390013011,295
1305,410390018033,242
1306,410390018032,244
1307,410390019041,425
1308,410390020012,173
1309,410390022022,152
1310,410390022023,551
1311,410390038001,314
